,FAMILY,TOOLS,GAME,FINANCE,PRODUCTIVITY,BUSINESS,MEDICAL,LIFESTYLE,PERSONALIZATION,PHOTOGRAPHY,SPORTS,COMMUNICATION,SOCIAL,HEALTH_AND_FITNESS,BOOKS_AND_REFERENCE,TRAVEL_AND_LOCAL,NEWS_AND_MAGAZINES,VIDEO_PLAYERS,SHOPPING,MAPS_AND_NAVIGATION,EDUCATION,ENTERTAINMENT,DATING,FOOD_AND_DRINK,WEATHER,LIBRARIES_AND_DEMO,AUTO_AND_VEHICLES,ART_AND_DESIGN,HOUSE_AND_HOME,BEAUTY,EVENTS,PARENTING,COMICS
FAMILY,1.000000119,0.124188654,0.210749224,0.149059772,0.046941206,0.367889404,0.257037699,0.299043745,-0.14035742,0.079679638,0.213702828,0.121565506,0.323037326,0.251073629,0.270605385,0.36813128,0.255415976,0.22508058,0.195748746,0.027764576,0.263285607,0.249062508,0.264295936,0.244688064,0.07546258,0.055724714,0.136265591,0.187263533,0.554818809,0.107087635,0.252539098,0.224383473,0.058530834
TOOLS,0.124188654,1,0.209461629,0.138105005,0.308268577,0.308706015,0.214027166,0.144229278,0.223952785,0.255427659,0.1371537,0.34966445,0.29513976,0.224751011,0.336325258,0.246563241,0.209876463,0.266895294,0.17651473,0.353226066,0.196156621,0.210147023,0.284565121,0.204322815,0.117151,0.309324533,0.265636474,0.386263311,0.181544021,0.134969458,0.141423896,0.234915361,0.086440101
GAME,0.210749224,0.209461629,0.99999994,0.07978534,0.115302153,0.244100899,0.107646421,0.116988219,-0.006831405,0.135280222,0.387703806,0.132843748,0.126147106,0.197316468,0.272272229,0.260477006,0.239665717,0.668318093,0.192830503,0.117630683,0.118251592,0.310181767,0.172453538,0.193647221,0.233715147,0.197732076,0.149337649,0.259639442,0.345155567,0.16532889,0.290719956,0.031311437,0.21110262
FINANCE,0.149059772,0.138105005,0.07978534,0.99999994,0.164184168,0.449035734,0.208870202,0.125487059,-0.129412726,0.082092181,0.25334388,0.257441431,0.383561105,0.271621525,0.18053396,0.297705472,0.275459647,0.143384412,0.126135096,0.070967771,0.452636361,0.175405815,0.025804147,0.16779764,0.068656087,0.091895044,0.27421993,0.205993429,0.26719588,0.002089787,0.082635768,-0.029081406,-0.039349254
PRODUCTIVITY,0.046941206,0.308268577,0.115302153,0.164184168,0.99999994,0.30856362,0.144910842,0.106149107,0.121376798,0.027409619,0.033174086,0.240581319,0.288984567,0.290570319,0.027540904,0.124488518,0.020789765,0.135732666,0.118554994,0.056292716,0.290110558,0.086743228,-0.033539344,0.176583663,0.129757687,0.080972604,0.172962636,0.088609003,0.078432493,0.108827777,0.004257196,0.05358316,-0.064409971
BUSINESS,0.367889404,0.308706015,0.244100899,0.449035734,0.30856362,1.000000119,0.337555826,0.334758788,-0.004558236,0.262535661,0.426164061,0.363984823,0.373738855,0.357018083,0.277147532,0.579496324,0.475607544,0.313699663,0.373376369,0.119047694,0.410097629,0.479954749,0.160893738,0.347954571,0.266564399,0.141398579,0.376541585,0.394294798,0.394937187,0.188992143,0.28560701,0.135057971,0.115173541
MEDICAL,0.257037699,0.214027166,0.107646421,0.208870202,0.144910842,0.337555826,1,0.138907269,-0.067180939,0.118392505,0.284123331,0.279820204,0.34894985,0.54577893,0.294847071,0.377384752,0.238406494,0.191630185,0.198320568,0.137910664,0.457345575,0.193170816,0.088997014,0.292179734,0.151789293,0.121186562,0.205113143,0.208144486,0.27556473,0.077289626,0.19499962,0.128433496,0.030555356
LIFESTYLE,0.299043745,0.144229278,0.116988219,0.125487059,0.106149107,0.334758788,0.138907269,1,0.047408063,0.208395675,0.356598973,0.13523972,0.330306172,0.3666448,0.182124645,0.32994023,0.384554148,0.136555612,0.285998583,0.094387449,0.220321804,0.379084945,0.104435213,0.33100912,0.17201364,0.002736554,0.116545044,0.283811778,0.201372907,0.263213098,0.195331261,0.349742264,0.037196688
PERSONALIZATION,-0.14035742,0.223952785,-0.006831405,-0.129412726,0.121376798,-0.004558236,-0.067180939,0.047408063,1.000000119,0.112429976,0.005407011,0.108315296,0.041805618,0.019488923,-0.084782183,-0.060455978,-0.027890058,0.055855103,0.067933574,0.071047336,-0.087772906,0.061118957,0.024102958,-0.045523997,-0.025413593,0.059694055,-0.039298534,0.015328838,-0.199459061,0.036456972,-0.085812621,0.119519465,-0.070856005
PHOTOGRAPHY,0.079679638,0.255427659,0.135280222,0.082092181,0.027409619,0.262535661,0.118392505,0.208395675,0.112429976,0.999999881,0.203247249,0.280351371,0.158398524,0.112963535,0.318221807,0.194988519,0.30163309,0.278754711,0.13815105,0.272599101,0.209244952,0.262618423,0.164658338,0.061157521,0.123903878,0.235465586,0.128966734,0.605558693,0.116746642,0.313077033,0.220530823,0.098048866,0.25571388
SPORTS,0.213702828,0.1371537,0.387703806,0.25334388,0.033174086,0.426164061,0.284123331,0.356598973,0.005407011,0.203247249,0.999999821,0.170029864,0.258099973,0.394124359,0.234280884,0.421527714,0.503633261,0.413220942,0.269196182,0.059263892,0.317964137,0.506210268,0.130227193,0.288538665,0.270493627,0.057046186,0.319452673,0.298586845,0.213029578,0.201932564,0.410300493,0.108694755,0.094916083
COMMUNICATION,0.121565506,0.34966445,0.132843748,0.257441431,0.240581319,0.363984823,0.279820204,0.13523972,0.108315296,0.280351371,0.170029864,1,0.37920177,0.258010745,0.246535644,0.333448917,0.202913791,0.261023581,0.100489326,0.365759045,0.429542154,0.203570649,0.1370309,0.13738893,0.206781819,0.233916432,0.15260689,0.322456479,0.124197781,0.103574768,0.136145845,0.242934212,0.00106859
SOCIAL,0.323037326,0.29513976,0.126147106,0.383561105,0.288984567,0.373738855,0.34894985,0.330306172,0.041805618,0.158398524,0.258099973,0.37920177,0.99999994,0.443189085,0.268918782,0.356753916,0.238375068,0.202620208,0.188557178,0.147326529,0.572774231,0.259332269,0.176826537,0.232123435,0.147659883,0.158983633,0.100758493,0.288195133,0.278487325,0.171120346,0.327822655,0.243514508,0.031073403
HEALTH_AND_FITNESS,0.251073629,0.224751011,0.197316468,0.271621525,0.290570319,0.357018083,0.54577893,0.3666448,0.019488923,0.112963535,0.394124359,0.258010745,0.443189085,1.000000119,0.22277607,0.416415513,0.306080252,0.293814808,0.271406204,0.131218895,0.536749005,0.293037474,0.073946729,0.373876333,0.167094722,0.093486257,0.226761654,0.230139583,0.304063559,0.285272062,0.246431708,0.265933782,0.027948961
BOOKS_AND_REFERENCE,0.270605385,0.336325258,0.272272229,0.18053396,0.027540904,0.277147532,0.294847071,0.182124645,-0.084782183,0.318221807,0.234280884,0.246535644,0.268918782,0.22277607,1.000000119,0.343248874,0.434258163,0.37097156,0.225046366,0.35024488,0.291383296,0.263853878,0.324358761,0.224888325,0.134109735,0.397743821,0.121182121,0.384905905,0.307331532,0.198644891,0.315348208,0.209665328,0.432512522
TRAVEL_AND_LOCAL,0.36813128,0.246563241,0.260477006,0.297705472,0.124488518,0.579496324,0.377384752,0.32994023,-0.060455978,0.194988519,0.421527714,0.333448917,0.356753916,0.416415513,0.343248874,0.99999994,0.50619781,0.367904633,0.415045261,0.27265209,0.369123667,0.350087613,0.196410149,0.412180334,0.375439972,0.224699974,0.344875097,0.313219279,0.448006928,0.190798357,0.412101507,0.109541476,0.116404258
NEWS_AND_MAGAZINES,0.255415976,0.209876463,0.239665717,0.275459647,0.020789765,0.475607544,0.238406494,0.384554148,-0.027890058,0.30163309,0.503633261,0.202913791,0.238375068,0.306080252,0.434258163,0.50619781,1,0.376483291,0.278891355,0.1256513,0.235115722,0.482904434,0.169423193,0.275653481,0.262608081,0.177887961,0.259437978,0.300995201,0.300811827,0.237384126,0.344642252,0.251384258,0.334142506
VIDEO_PLAYERS,0.22508058,0.266895294,0.668318093,0.143384412,0.135732666,0.313699663,0.191630185,0.136555612,0.055855103,0.278754711,0.413220942,0.261023581,0.202620208,0.293814808,0.37097156,0.367904633,0.376483291,1,0.227612227,0.224788383,0.186684027,0.414982945,0.180815205,0.204462141,0.171442851,0.410039604,0.22313717,0.305555671,0.342009395,0.172931597,0.342482716,0.03509758,0.203810766
SHOPPING,0.195748746,0.17651473,0.192830503,0.126135096,0.118554994,0.373376369,0.198320568,0.285998583,0.067933574,0.13815105,0.269196182,0.100489326,0.188557178,0.271406204,0.225046366,0.415045261,0.278891355,0.227612227,1,0.180226058,0.162136778,0.3923015,0.136070833,0.331251442,0.190188959,0.209649161,0.274145514,0.251716375,0.338430405,0.207548365,0.209565431,0.106907718,0.067581691
MAPS_AND_NAVIGATION,0.027764576,0.353226066,0.117630683,0.070967771,0.056292716,0.119047694,0.137910664,0.094387449,0.071047336,0.272599101,0.059263892,0.365759045,0.147326529,0.131218895,0.35024488,0.27265209,0.1256513,0.224788383,0.180226058,1.000000238,0.144908562,0.141148195,0.213616058,0.084202237,0.348528475,0.22868675,0.21500057,0.268799841,0.059586644,0.041119501,0.184750006,-0.005649361,0.040528607
EDUCATION,0.263285607,0.196156621,0.118251592,0.452636361,0.290110558,0.410097629,0.457345575,0.220321804,-0.087772906,0.209244952,0.317964137,0.429542154,0.572774231,0.536749005,0.291383296,0.369123667,0.235115722,0.186684027,0.162136778,0.144908562,1,0.275552034,0.071689308,0.252616882,0.071829341,0.265337706,0.099503689,0.365906894,0.317193687,0.141689628,0.200694427,0.275086313,0.028604176
ENTERTAINMENT,0.249062508,0.210147023,0.310181767,0.175405815,0.086743228,0.479954749,0.193170816,0.379084945,0.061118957,0.262618423,0.506210268,0.203570649,0.259332269,0.293037474,0.263853878,0.350087613,0.482904434,0.414982945,0.3923015,0.141148195,0.275552034,0.99999994,0.090341009,0.288815856,0.13665317,0.187440291,0.206004187,0.310179561,0.232370853,0.249906719,0.290829062,0.174719095,0.348363668
DATING,0.264295936,0.284565121,0.172453538,0.025804147,-0.033539344,0.160893738,0.088997014,0.104435213,0.024102958,0.164658338,0.130227193,0.1370309,0.176826537,0.073946729,0.324358761,0.196410149,0.169423193,0.180815205,0.136070833,0.213616058,0.071689308,0.090341009,1.000000119,0.053296708,0.084880412,0.141801015,0.08190982,0.26268366,0.221553758,0.109942913,0.213764966,0.200878203,0.109555446
FOOD_AND_DRINK,0.244688064,0.204322815,0.193647221,0.16779764,0.176583663,0.347954571,0.292179734,0.33100912,-0.045523997,0.061157521,0.288538665,0.13738893,0.232123435,0.373876333,0.224888325,0.412180334,0.275653481,0.204462141,0.331251442,0.084202237,0.252616882,0.288815856,0.053296708,0.999999881,0.260156125,0.055888835,0.228085935,0.175254285,0.275597841,0.264737636,0.212776929,0.125735193,0.033062559
WEATHER,0.07546258,0.117151,0.233715147,0.068656087,0.129757687,0.266564399,0.151789293,0.17201364,-0.025413593,0.123903878,0.270493627,0.206781819,0.147659883,0.167094722,0.134109735,0.375439972,0.262608081,0.171442851,0.190188959,0.348528475,0.071829341,0.13665317,0.084880412,0.260156125,1,0.024182227,0.196587145,0.099431843,0.174132302,0.055926129,0.332721114,-0.03200832,-0.028596705
LIBRARIES_AND_DEMO,0.055724714,0.309324533,0.197732076,0.091895044,0.080972604,0.141398579,0.121186562,0.002736554,0.059694055,0.235465586,0.057046186,0.233916432,0.158983633,0.093486257,0.397743821,0.224699974,0.177887961,0.410039604,0.209649161,0.22868675,0.265337706,0.187440291,0.141801015,0.055888835,0.024182227,0.99999994,0.082665063,0.284586191,0.205448151,0.018726228,0.172676772,0.084942266,0.167399541
AUTO_AND_VEHICLES,0.136265591,0.265636474,0.149337649,0.27421993,0.172962636,0.376541585,0.205113143,0.116545044,-0.039298534,0.128966734,0.319452673,0.15260689,0.100758493,0.226761654,0.121182121,0.344875097,0.259437978,0.22313717,0.274145514,0.21500057,0.099503689,0.206004187,0.08190982,0.228085935,0.196587145,0.082665063,1.000000119,0.279692501,0.252625346,0.106493004,0.196773916,-0.048196021,0.056470826
ART_AND_DESIGN,0.187263533,0.386263311,0.259639442,0.205993429,0.088609003,0.394294798,0.208144486,0.283811778,0.015328838,0.605558693,0.298586845,0.322456479,0.288195133,0.230139583,0.384905905,0.313219279,0.300995201,0.305555671,0.251716375,0.268799841,0.365906894,0.310179561,0.26268366,0.175254285,0.099431843,0.284586191,0.279692501,0.999999881,0.306715548,0.343091965,0.273447335,0.165703475,0.240803167
HOUSE_AND_HOME,0.554818809,0.181544021,0.345155567,0.26719588,0.078432493,0.394937187,0.27556473,0.201372907,-0.199459061,0.116746642,0.213029578,0.124197781,0.278487325,0.304063559,0.307331532,0.448006928,0.300811827,0.342009395,0.338430405,0.059586644,0.317193687,0.232370853,0.221553758,0.275597841,0.174132302,0.205448151,0.252625346,0.306715548,1.000000119,0.188508704,0.277368635,0.032066796,0.04676649
BEAUTY,0.107087635,0.134969458,0.16532889,0.002089787,0.108827777,0.188992143,0.077289626,0.263213098,0.036456972,0.313077033,0.201932564,0.103574768,0.171120346,0.285272062,0.198644891,0.190798357,0.237384126,0.172931597,0.207548365,0.041119501,0.141689628,0.249906719,0.109942913,0.264737636,0.055926129,0.018726228,0.106493004,0.343091965,0.188508704,0.99999994,0.157302499,0.089755505,0.137110785
EVENTS,0.252539098,0.141423896,0.290719956,0.082635768,0.004257196,0.28560701,0.19499962,0.195331261,-0.085812621,0.220530823,0.410300493,0.136145845,0.327822655,0.246431708,0.315348208,0.412101507,0.344642252,0.342482716,0.209565431,0.184750006,0.200694427,0.290829062,0.213764966,0.212776929,0.332721114,0.172676772,0.196773916,0.273447335,0.277368635,0.157302499,0.999999821,0.060415167,0.137445986
PARENTING,0.224383473,0.234915361,0.031311437,-0.029081406,0.05358316,0.135057971,0.128433496,0.349742264,0.119519465,0.098048866,0.108694755,0.242934212,0.243514508,0.265933782,0.209665328,0.109541476,0.251384258,0.03509758,0.106907718,-0.005649361,0.275086313,0.174719095,0.200878203,0.125735193,-0.03200832,0.084942266,-0.048196021,0.165703475,0.032066796,0.089755505,0.060415167,0.999999881,0.149136841
COMICS,0.058530834,0.086440101,0.21110262,-0.039349254,-0.064409971,0.115173541,0.030555356,0.037196688,-0.070856005,0.25571388,0.094916083,0.00106859,0.031073403,0.027948961,0.432512522,0.116404258,0.334142506,0.203810766,0.067581691,0.040528607,0.028604176,0.348363668,0.109555446,0.033062559,-0.028596705,0.167399541,0.056470826,0.240803167,0.04676649,0.137110785,0.137445986,0.149136841,0.999999881
